       Price | Rating       |        Pages |   Unit Value | Title       
     25.08zł | 5.00       |        240 |       0.02zł | Zbrodnia Ikara. Dogman. Tom 9
     51.49zł | 5.00       |        298 |       0.03zł | Maus. Opowie   ocala ego
     21.63zł | 4.00       |         88 |       0.06zł | Na pastw  mob w. Minecraft. Tom 3

Top komiksy:  [
  {
    price: '19.77',
    rating: 4.9,
    pages: 320,
    unitValue: '0.01',
    bookTitle: 'Heartstopper. Tom 2'
  },
  {
    price: '9.99',
    rating: 5,
    pages: 176,
    unitValue: '0.01',
    bookTitle: 'II Wojna Zwiastun w'
  },
  {
    price: '15.13',
    rating: 4.5,
    pages: 272,
    unitValue: '0.01',
    bookTitle: 'Ostatnie dzieciaki na Ziemi i co  kosmicznego. Ostatnie dzieciaki na Ziemi. Tom 4'
  },
  {
    price: '22.35',
    rating: 5,
    pages: 384,
    unitValue: '0.01',
    bookTitle: 'Heartstopper. Tom 4'
  },
  {
    price: '26.25',
    rating: 5,
    pages: 240,
    unitValue: '0.02',
    bookTitle: 'Dogman. Tom 1'
  },
  {
    price: '25.99',
    rating: 5,
    pages: 224,
    unitValue: '0.02',
    bookTitle: 'Szkar atna obro a. Dogman. Tom 12'
  },
  {
    price: '25.42',
    rating: 4.8,
    pages: 320,
    unitValue: '0.02',
    bookTitle: 'Heartstopper. Tom 5'
  },
  {
    price: '5.59',
    rating: 5,
    pages: 56,
    unitValue: '0.02',
    bookTitle: 'Podr  do  wier  ko a  wiata. Tytus, Romek i A’Tomek. Ksi ga V'
  },
  {
    price: '5.59',
    rating: 5,
    pages: 54,
    unitValue: '0.02',
    bookTitle: 'Tytus poprawia dw jk  z geografii Polski. Tytus, Romek i A’Tomek. Ksi ga VII'
  },
  {
    price: '5.59',
    rating: 4,
    pages: 56,
    unitValue: '0.02',
    bookTitle: 'Tytus na Dzikim Zachodzie. Tytus, Romek i A’Tomek. Ksi ga IX'
  }
]
